date;Tony Blair;John Humphrys;Nick Robinson;Tom Daley;air travel;isPartial
2022-01-01;90;1;1;10;2;False
2022-01-02;73;0;0;4;4;False
2022-01-03;88;0;1;2;4;False
2022-01-04;100;1;0;2;4;False
2022-01-05;47;0;0;2;5;False
2022-01-06;33;1;1;2;4;False
2022-01-07;37;0;1;2;4;False
2022-01-08;32;0;2;3;5;False
2022-01-09;29;1;1;1;4;False
2022-01-10;13;0;0;2;7;False
2022-01-11;14;0;0;1;5;False
2022-01-12;10;0;1;1;5;False
2022-01-13;10;0;0;1;7;False
2022-01-14;7;0;0;1;6;False
2022-01-15;6;1;1;0;5;False
2022-01-16;7;0;2;0;5;False
2022-01-17;6;0;2;2;4;False
2022-01-18;5;0;0;1;4;False
2022-01-19;5;0;1;1;5;False
2022-01-20;5;0;0;1;4;False
2022-01-21;4;0;1;0;3;False
2022-01-22;6;0;1;1;4;False
2022-01-23;4;0;2;2;5;False
2022-01-24;5;0;2;2;7;False
2022-01-25;6;0;1;1;3;False
2022-01-26;5;0;1;1;4;False
2022-01-27;3;0;3;1;5;False
2022-01-28;4;0;2;1;3;False
2022-01-29;79;0;1;1;4;False
2022-01-30;21;0;1;2;5;False
2022-01-31;6;0;1;0;6;False
