date;covid-19;coronavirus;live;betty white;air travel;isPartial
2022-01-01;4;42;92;66;0;False
2022-01-02;4;39;92;15;1;False
2022-01-03;4;42;78;7;0;False
2022-01-04;5;43;77;6;0;False
2022-01-05;4;35;80;4;1;False
2022-01-06;4;30;71;3;1;False
2022-01-07;3;29;73;2;1;False
2022-01-08;3;26;93;2;1;False
2022-01-09;3;27;86;1;0;False
2022-01-10;4;28;82;2;1;False
2022-01-11;4;27;77;1;1;False
2022-01-12;3;26;83;1;1;False
2022-01-13;4;26;89;1;1;False
2022-01-14;3;21;69;1;1;False
2022-01-15;2;22;100;1;1;False
2022-01-16;3;24;91;1;1;False
2022-01-17;3;23;72;19;1;False
2022-01-18;3;21;70;16;0;False
2022-01-19;4;24;77;3;1;False
2022-01-20;4;20;75;2;0;False
2022-01-21;3;20;75;2;0;False
2022-01-22;2;19;95;1;0;False
2022-01-23;2;20;84;1;1;False
2022-01-24;4;23;83;1;1;False
2022-01-25;3;18;68;0;0;False
2022-01-26;3;19;77;0;1;False
2022-01-27;2;18;73;0;1;False
2022-01-28;3;18;79;0;0;False
2022-01-29;2;17;95;0;0;False
2022-01-30;2;17;93;0;1;False
2022-01-31;3;24;81;0;1;False
