date;TfL;Jeremy Clarkson;Oxford;Doge;air travel;isPartial
2022-01-01;28;5;86;2;1;False
2022-01-02;27;6;84;2;2;False
2022-01-03;24;5;83;2;2;False
2022-01-04;29;5;82;2;2;False
2022-01-05;29;4;83;2;3;False
2022-01-06;33;4;78;3;2;False
2022-01-07;30;4;77;3;2;False
2022-01-08;33;4;92;2;3;False
2022-01-09;28;5;81;2;2;False
2022-01-10;29;5;94;3;4;False
2022-01-11;28;4;92;2;3;False
2022-01-12;27;4;86;2;3;False
2022-01-13;29;3;94;2;4;False
2022-01-14;31;3;83;5;3;False
2022-01-15;40;3;95;3;2;False
2022-01-16;30;5;89;3;3;False
2022-01-17;29;2;89;2;2;False
2022-01-18;29;2;85;3;2;False
2022-01-19;29;2;80;3;3;False
2022-01-20;30;2;84;2;2;False
2022-01-21;32;2;85;2;1;False
2022-01-22;33;3;100;2;2;False
2022-01-23;26;3;85;2;3;False
2022-01-24;31;3;100;2;4;False
2022-01-25;26;3;82;2;2;False
2022-01-26;30;3;85;2;2;False
2022-01-27;32;2;80;2;3;False
2022-01-28;33;2;94;2;2;False
2022-01-29;38;4;99;1;2;False
2022-01-30;30;3;82;2;3;False
2022-01-31;34;3;91;1;3;False
