date;Elena Ferrante;Liam Williams;Ursula von der Leyen;Pharmaceuticals industry;air travel;isPartial
2022-01-01;13;17;0;0;34;False
2022-01-02;16;17;0;0;63;False
2022-01-03;20;13;0;0;51;False
2022-01-04;27;0;0;8;54;False
2022-01-05;17;0;7;0;77;False
2022-01-06;13;29;0;5;61;False
2022-01-07;15;11;0;0;63;False
2022-01-08;9;22;5;0;71;False
2022-01-09;9;16;0;0;55;False
2022-01-10;17;0;5;0;97;False
2022-01-11;6;13;0;0;79;False
2022-01-12;8;8;0;4;67;False
2022-01-13;0;6;0;0;100;False
2022-01-14;0;18;0;0;84;False
2022-01-15;10;15;5;6;66;False
2022-01-16;23;16;0;0;72;False
2022-01-17;0;16;0;9;65;False
2022-01-18;0;6;0;0;59;False
2022-01-19;0;9;4;0;74;False
2022-01-20;5;8;0;0;54;False
2022-01-21;4;0;0;0;38;False
2022-01-22;0;14;5;10;53;False
2022-01-23;0;0;0;0;69;False
2022-01-24;0;0;5;0;97;False
2022-01-25;0;5;0;0;49;False
2022-01-26;15;22;0;0;64;False
2022-01-27;7;10;0;0;71;False
2022-01-28;0;13;8;0;49;False
2022-01-29;10;25;0;0;60;False
2022-01-30;15;60;0;0;71;False
2022-01-31;0;72;0;0;82;False
