date;Rural affairs;Rivers;Winter;Walking;air travel;isPartial
2022-01-01;0;8;95;77;1;False
2022-01-02;0;9;100;78;2;False
2022-01-03;0;7;81;79;2;False
2022-01-04;0;6;85;68;2;False
2022-01-05;0;8;82;60;3;False
2022-01-06;0;8;78;57;2;False
2022-01-07;0;7;78;59;2;False
2022-01-08;0;6;80;68;3;False
2022-01-09;0;9;85;79;2;False
2022-01-10;0;11;70;64;4;False
2022-01-11;0;9;62;60;3;False
2022-01-12;0;8;69;60;3;False
2022-01-13;0;9;71;63;4;False
2022-01-14;0;8;66;57;3;False
2022-01-15;0;8;80;74;2;False
2022-01-16;0;8;85;83;3;False
2022-01-17;0;9;69;64;2;False
2022-01-18;0;6;73;58;2;False
2022-01-19;0;8;63;54;3;False
2022-01-20;0;7;62;57;2;False
2022-01-21;0;7;64;54;1;False
2022-01-22;0;9;68;70;2;False
2022-01-23;0;7;80;70;3;False
2022-01-24;0;10;71;65;4;False
2022-01-25;0;8;63;56;2;False
2022-01-26;0;8;63;59;2;False
2022-01-27;0;7;57;54;3;False
2022-01-28;0;7;66;57;2;False
2022-01-29;1;7;70;65;2;False
2022-01-30;0;7;70;70;3;False
2022-01-31;0;8;61;56;3;False
