date;Kent;Guardian Careers;Teaching;Teacher Network;air travel;isPartial
2022-01-01;82;0;19;0;2;False
2022-01-02;85;0;26;0;3;False
2022-01-03;88;0;29;0;3;False
2022-01-04;100;0;41;0;4;False
2022-01-05;87;0;36;0;4;False
2022-01-06;87;0;34;0;3;False
2022-01-07;92;0;30;0;4;False
2022-01-08;80;0;27;0;3;False
2022-01-09;84;0;30;0;3;False
2022-01-10;97;0;39;0;4;False
2022-01-11;91;0;38;0;3;False
2022-01-12;89;0;38;0;4;False
2022-01-13;100;0;38;0;4;False
2022-01-14;86;1;29;0;4;False
2022-01-15;82;0;25;0;3;False
2022-01-16;96;0;30;0;4;False
2022-01-17;93;0;38;0;2;False
2022-01-18;91;0;38;0;3;False
2022-01-19;89;0;33;0;3;False
2022-01-20;88;1;34;0;2;False
2022-01-21;88;0;31;0;2;False
2022-01-22;90;0;25;0;3;False
2022-01-23;88;0;31;0;3;False
2022-01-24;99;0;41;0;5;False
2022-01-25;83;0;37;0;3;False
2022-01-26;89;0;36;0;3;False
2022-01-27;84;0;36;1;3;False
2022-01-28;85;0;32;0;3;False
2022-01-29;89;0;22;0;3;False
2022-01-30;85;0;28;1;4;False
2022-01-31;96;0;36;0;4;False
