date;blackberry;mobile phones;scotrail;australia;air travel;isPartial
2022-01-01;4;6;2;56;1;False
2022-01-02;4;8;3;61;2;False
2022-01-03;16;7;4;56;2;False
2022-01-04;21;9;4;61;2;False
2022-01-05;8;7;4;77;3;False
2022-01-06;5;7;3;74;2;False
2022-01-07;5;6;3;76;2;False
2022-01-08;5;7;3;83;2;False
2022-01-09;4;6;3;88;2;False
2022-01-10;3;7;3;66;3;False
2022-01-11;3;6;3;57;3;False
2022-01-12;3;6;3;58;2;False
2022-01-13;3;7;4;63;3;False
2022-01-14;2;6;3;76;3;False
2022-01-15;4;6;3;86;2;False
2022-01-16;3;6;4;100;2;False
2022-01-17;3;6;3;61;2;False
2022-01-18;3;6;3;59;2;False
2022-01-19;2;6;3;53;2;False
2022-01-20;2;6;3;58;2;False
2022-01-21;2;6;4;52;1;False
2022-01-22;3;6;4;56;2;False
2022-01-23;3;6;3;57;2;False
2022-01-24;3;7;4;58;3;False
2022-01-25;3;6;4;54;2;False
2022-01-26;2;5;3;63;2;False
2022-01-27;3;5;3;60;2;False
2022-01-28;3;5;5;54;2;False
2022-01-29;4;7;9;58;2;False
2022-01-30;4;7;6;71;2;False
2022-01-31;2;6;7;50;3;False
