date;university of exeter;books;social work;humanitarian aid;air travel;isPartial
2022-01-01;0;83;3;0;1;False
2022-01-02;1;100;3;0;2;False
2022-01-03;1;97;5;0;2;False
2022-01-04;1;94;7;0;2;False
2022-01-05;1;86;6;0;2;False
2022-01-06;1;78;7;0;2;False
2022-01-07;1;82;6;0;2;False
2022-01-08;1;86;4;0;2;False
2022-01-09;1;90;5;0;1;False
2022-01-10;1;89;7;0;3;False
2022-01-11;1;80;7;0;2;False
2022-01-12;1;80;6;0;2;False
2022-01-13;1;83;6;0;3;False
2022-01-14;1;71;5;0;2;False
2022-01-15;1;90;5;0;2;False
2022-01-16;1;91;5;0;3;False
2022-01-17;1;77;6;0;2;False
2022-01-18;1;76;7;1;1;False
2022-01-19;1;68;6;0;2;False
2022-01-20;1;73;7;0;1;False
2022-01-21;1;69;6;0;1;False
2022-01-22;1;82;2;0;1;False
2022-01-23;1;88;5;0;2;False
2022-01-24;2;90;9;0;3;False
2022-01-25;1;78;8;0;2;False
2022-01-26;1;73;7;0;2;False
2022-01-27;1;70;6;0;2;False
2022-01-28;1;77;6;0;2;False
2022-01-29;1;78;3;0;2;False
2022-01-30;1;84;4;0;2;False
2022-01-31;1;77;6;0;3;False
