date;pfizer-biontech vaccine;e-scooters;prince charles;samuel l jackson;air travel;isPartial
2022-01-01;4;0;60;34;12;False
2022-01-02;6;3;60;35;24;False
2022-01-03;0;0;54;27;23;False
2022-01-04;0;3;44;24;25;False
2022-01-05;2;3;45;21;32;False
2022-01-06;0;0;39;20;26;False
2022-01-07;0;0;51;25;28;False
2022-01-08;0;3;43;32;27;False
2022-01-09;0;0;59;34;20;False
2022-01-10;0;4;49;14;34;False
2022-01-11;0;0;53;11;28;False
2022-01-12;5;0;54;9;33;False
2022-01-13;0;0;99;12;33;False
2022-01-14;4;8;84;10;34;False
2022-01-15;0;0;85;29;28;False
2022-01-16;0;3;74;23;32;False
2022-01-17;0;0;37;14;23;False
2022-01-18;0;2;39;17;24;False
2022-01-19;0;2;31;25;33;False
2022-01-20;0;0;43;13;15;False
2022-01-21;2;0;34;14;10;False
2022-01-22;0;0;48;32;27;False
2022-01-23;0;2;50;100;30;False
2022-01-24;0;2;54;99;33;False
2022-01-25;0;0;36;37;19;False
2022-01-26;2;0;32;28;26;False
2022-01-27;0;0;44;26;21;False
2022-01-28;0;2;42;24;19;False
2022-01-29;0;0;44;40;21;False
2022-01-30;0;0;47;34;26;False
2022-01-31;3;0;49;17;34;False
