date;david carrick;the netherlands;west ham;hgv drivers;air travel;isPartial
2022-01-01;0;1;74;0;1;False
2022-01-02;0;1;27;0;1;False
2022-01-03;0;1;25;0;1;False
2022-01-04;0;2;26;0;1;False
2022-01-05;0;1;25;0;2;False
2022-01-06;0;2;24;0;2;False
2022-01-07;0;2;26;0;2;False
2022-01-08;0;1;31;0;2;False
2022-01-09;0;1;98;0;1;False
2022-01-10;3;2;29;0;2;False
2022-01-11;0;1;26;1;2;False
2022-01-12;0;1;74;0;2;False
2022-01-13;0;2;35;0;2;False
2022-01-14;0;1;23;0;2;False
2022-01-15;0;1;30;0;2;False
2022-01-16;0;2;96;0;2;False
2022-01-17;0;2;22;0;1;False
2022-01-18;0;1;18;0;1;False
2022-01-19;0;1;19;0;2;False
2022-01-20;0;1;19;0;1;False
2022-01-21;0;1;24;0;1;False
2022-01-22;0;1;100;0;2;False
2022-01-23;0;2;27;0;2;False
2022-01-24;0;2;24;0;2;False
2022-01-25;0;1;20;0;1;False
2022-01-26;0;2;25;1;1;False
2022-01-27;0;2;21;0;1;False
2022-01-28;0;1;28;0;1;False
2022-01-29;0;1;31;0;1;False
2022-01-30;0;1;37;0;1;False
2022-01-31;0;1;53;1;2;False
