date;Choral music;Plants;Postnatal depression;Chinese literature;air travel;isPartial
2022-01-01;1;61;0;0;2;False
2022-01-02;0;71;1;0;4;False
2022-01-03;0;67;1;0;3;False
2022-01-04;1;61;1;0;4;False
2022-01-05;0;59;1;1;5;False
2022-01-06;0;56;1;0;4;False
2022-01-07;0;54;1;0;4;False
2022-01-08;1;68;2;0;5;False
2022-01-09;0;84;1;0;4;False
2022-01-10;0;70;1;0;6;False
2022-01-11;0;62;1;0;5;False
2022-01-12;0;61;1;0;4;False
2022-01-13;0;71;1;0;7;False
2022-01-14;0;59;1;0;6;False
2022-01-15;0;84;1;0;4;False
2022-01-16;0;100;0;0;5;False
2022-01-17;0;67;1;0;4;False
2022-01-18;1;66;1;0;4;False
2022-01-19;0;60;0;0;5;False
2022-01-20;0;61;1;0;4;False
2022-01-21;0;61;1;0;3;False
2022-01-22;0;78;1;0;4;False
2022-01-23;1;94;1;0;5;False
2022-01-24;0;80;1;0;6;False
2022-01-25;0;67;1;0;3;False
2022-01-26;0;68;1;0;4;False
2022-01-27;1;67;1;0;5;False
2022-01-28;0;63;1;0;3;False
2022-01-29;0;81;1;0;4;False
2022-01-30;0;89;1;0;5;False
2022-01-31;1;72;1;0;6;False
