date;Death and dying;Bill Gates;Warren Buffett;Steve Ballmer;air travel;isPartial
2022-01-01;0;77;10;0;30;False
2022-01-02;0;64;23;0;57;False
2022-01-03;0;73;10;0;55;False
2022-01-04;5;55;18;10;73;False
2022-01-05;0;86;18;0;72;False
2022-01-06;0;56;65;0;65;False
2022-01-07;0;82;32;0;72;False
2022-01-08;0;75;13;0;59;False
2022-01-09;0;70;13;7;58;False
2022-01-10;0;58;34;7;87;False
2022-01-11;0;66;38;0;65;False
2022-01-12;5;45;17;8;70;False
2022-01-13;0;82;23;0;84;False
2022-01-14;0;68;15;0;73;False
2022-01-15;0;75;20;0;64;False
2022-01-16;0;52;12;0;75;False
2022-01-17;10;86;9;25;41;False
2022-01-18;0;89;13;8;60;False
2022-01-19;0;76;10;7;62;False
2022-01-20;0;69;10;0;43;False
2022-01-21;0;99;9;10;39;False
2022-01-22;0;97;32;0;60;False
2022-01-23;0;82;19;5;65;False
2022-01-24;6;100;32;5;89;False
2022-01-25;7;73;16;4;50;False
2022-01-26;0;61;12;0;67;False
2022-01-27;7;63;14;0;55;False
2022-01-28;5;57;17;4;50;False
2022-01-29;0;51;19;5;53;False
2022-01-30;0;55;13;0;78;False
2022-01-31;5;69;10;0;79;False
