date;Music industry;Universal Music;Warner Bros;Qatar;air travel;isPartial
2022-01-01;0;4;14;66;7;False
2022-01-02;0;3;16;71;13;False
2022-01-03;3;2;11;60;11;False
2022-01-04;2;2;11;76;11;False
2022-01-05;1;3;10;80;16;False
2022-01-06;3;3;8;70;13;False
2022-01-07;3;2;8;73;13;False
2022-01-08;5;1;7;70;15;False
2022-01-09;2;2;13;77;11;False
2022-01-10;3;2;7;79;20;False
2022-01-11;5;3;9;78;16;False
2022-01-12;3;3;9;76;14;False
2022-01-13;5;0;9;75;21;False
2022-01-14;3;3;8;63;17;False
2022-01-15;2;0;12;66;14;False
2022-01-16;3;4;11;81;15;False
2022-01-17;2;2;11;79;13;False
2022-01-18;3;4;5;76;12;False
2022-01-19;4;2;7;94;15;False
2022-01-20;2;2;11;78;11;False
2022-01-21;0;0;8;79;8;False
2022-01-22;2;1;10;79;11;False
2022-01-23;2;0;10;76;14;False
2022-01-24;3;3;10;100;20;False
2022-01-25;4;3;5;83;10;False
2022-01-26;4;2;13;75;13;False
2022-01-27;4;2;9;70;15;False
2022-01-28;4;2;9;79;10;False
2022-01-29;0;1;13;69;12;False
2022-01-30;1;2;11;79;15;False
2022-01-31;2;3;10;77;17;False
