date;Vogue;Anna Wintour;North Carolina;Tommy Robinson;air travel;isPartial
2022-01-01;63;5;14;16;11;False
2022-01-02;69;2;18;10;20;False
2022-01-03;53;3;23;19;16;False
2022-01-04;57;0;10;25;17;False
2022-01-05;55;0;14;12;24;False
2022-01-06;62;0;18;23;19;False
2022-01-07;61;0;13;13;20;False
2022-01-08;70;3;13;7;23;False
2022-01-09;70;2;12;11;18;False
2022-01-10;87;3;14;8;31;False
2022-01-11;58;2;26;9;25;False
2022-01-12;69;2;16;0;21;False
2022-01-13;64;2;23;6;32;False
2022-01-14;79;4;17;5;27;False
2022-01-15;100;2;15;8;21;False
2022-01-16;74;0;19;9;23;False
2022-01-17;78;44;12;9;21;False
2022-01-18;70;3;14;5;19;False
2022-01-19;81;11;17;3;24;False
2022-01-20;63;3;12;49;17;False
2022-01-21;63;5;17;12;12;False
2022-01-22;79;4;18;13;17;False
2022-01-23;75;3;15;5;22;False
2022-01-24;80;8;20;12;31;False
2022-01-25;67;3;19;12;16;False
2022-01-26;62;2;13;7;20;False
2022-01-27;65;3;12;8;23;False
2022-01-28;58;1;14;18;16;False
2022-01-29;65;3;18;59;19;False
2022-01-30;57;0;35;21;23;False
2022-01-31;68;0;16;14;26;False
