date;Omicron variant;Banks and building societies;Post Office;Lloyds Banking Group;air travel;isPartial
2022-01-01;6;0;58;1;1;False
2022-01-02;10;0;60;0;2;False
2022-01-03;5;0;97;0;2;False
2022-01-04;5;0;91;1;2;False
2022-01-05;5;0;75;1;3;False
2022-01-06;3;0;65;2;2;False
2022-01-07;2;0;74;1;2;False
2022-01-08;2;0;100;0;2;False
2022-01-09;2;0;47;0;2;False
2022-01-10;2;0;78;1;3;False
2022-01-11;3;0;66;1;3;False
2022-01-12;2;0;66;1;2;False
2022-01-13;3;0;68;2;3;False
2022-01-14;2;0;64;0;3;False
2022-01-15;2;0;88;1;2;False
2022-01-16;2;0;47;0;2;False
2022-01-17;2;0;72;1;2;False
2022-01-18;4;0;61;1;2;False
2022-01-19;3;0;56;1;2;False
2022-01-20;2;0;56;1;2;False
2022-01-21;4;0;65;0;1;False
2022-01-22;3;0;84;0;2;False
2022-01-23;2;0;44;0;2;False
2022-01-24;3;0;77;1;3;False
2022-01-25;3;0;61;0;2;False
2022-01-26;2;0;67;1;2;False
2022-01-27;2;0;57;1;2;False
2022-01-28;5;0;68;1;2;False
2022-01-29;4;0;81;0;2;False
2022-01-30;3;0;42;0;2;False
2022-01-31;2;0;70;1;3;False
