date;sage;defence;wolverhampton;trudy harrison;air travel;isPartial
2022-01-01;61;24;75;0;3;False
2022-01-02;67;27;79;0;6;False
2022-01-03;76;30;98;0;6;False
2022-01-04;91;39;97;0;6;False
2022-01-05;86;43;91;0;8;False
2022-01-06;85;37;87;0;6;False
2022-01-07;77;35;86;1;7;False
2022-01-08;68;27;75;0;7;False
2022-01-09;76;31;84;0;5;False
2022-01-10;84;64;90;0;8;False
2022-01-11;82;43;86;0;7;False
2022-01-12;82;45;82;1;8;False
2022-01-13;78;47;86;0;8;False
2022-01-14;68;34;83;1;8;False
2022-01-15;71;25;90;0;7;False
2022-01-16;79;34;76;0;8;False
2022-01-17;82;39;88;0;5;False
2022-01-18;81;44;80;1;6;False
2022-01-19;73;44;73;0;8;False
2022-01-20;83;44;81;1;3;False
2022-01-21;77;42;79;0;2;False
2022-01-22;68;32;88;0;6;False
2022-01-23;68;32;87;1;7;False
2022-01-24;96;51;100;0;8;False
2022-01-25;73;42;74;0;5;False
2022-01-26;84;45;81;2;6;False
2022-01-27;81;41;77;2;5;False
2022-01-28;89;36;90;0;5;False
2022-01-29;65;28;88;0;5;False
2022-01-30;75;28;76;0;6;False
2022-01-31;83;46;92;1;8;False
