date;Netflix;Stan;Amazon Prime Video;Australian media;air travel;isPartial
2022-01-01;98;4;5;0;0;False
2022-01-02;100;4;4;0;1;False
2022-01-03;77;4;4;0;1;False
2022-01-04;73;3;3;0;1;False
2022-01-05;57;3;4;0;1;False
2022-01-06;58;3;4;0;1;False
2022-01-07;64;3;4;0;1;False
2022-01-08;89;4;4;0;1;False
2022-01-09;79;4;5;0;1;False
2022-01-10;64;3;4;0;1;False
2022-01-11;58;3;3;0;1;False
2022-01-12;53;3;3;0;1;False
2022-01-13;53;3;3;0;1;False
2022-01-14;59;3;3;0;1;False
2022-01-15;80;25;5;0;1;False
2022-01-16;78;6;4;0;1;False
2022-01-17;58;3;3;0;1;False
2022-01-18;54;3;4;0;1;False
2022-01-19;48;3;3;0;1;False
2022-01-20;50;3;3;0;1;False
2022-01-21;66;4;4;0;0;False
2022-01-22;80;5;4;0;1;False
2022-01-23;72;4;4;0;1;False
2022-01-24;60;4;4;0;1;False
2022-01-25;49;3;3;0;1;False
2022-01-26;47;3;3;0;1;False
2022-01-27;42;3;4;0;1;False
2022-01-28;56;3;4;0;1;False
2022-01-29;70;4;4;0;1;False
2022-01-30;64;4;4;0;1;False
2022-01-31;49;3;4;0;1;False
