date;Christian Eriksen;Novak Djokovic;Ash Barty;Florian Zeller;air travel;isPartial
2022-01-01;1;1;0;0;2;False
2022-01-02;1;1;0;0;3;False
2022-01-03;1;2;0;0;3;False
2022-01-04;4;11;0;0;3;False
2022-01-05;2;54;1;0;4;False
2022-01-06;1;75;0;0;3;False
2022-01-07;1;46;0;0;3;False
2022-01-08;1;40;1;1;4;False
2022-01-09;1;36;0;0;3;False
2022-01-10;1;100;0;0;5;False
2022-01-11;1;41;0;0;4;False
2022-01-12;1;43;0;0;4;False
2022-01-13;1;40;0;0;5;False
2022-01-14;1;75;0;0;4;False
2022-01-15;2;60;0;0;4;False
2022-01-16;6;99;0;0;4;False
2022-01-17;7;28;1;0;3;False
2022-01-18;5;14;0;1;3;False
2022-01-19;2;9;1;0;4;False
2022-01-20;1;8;1;0;3;False
2022-01-21;1;5;1;0;2;False
2022-01-22;1;6;1;0;3;False
2022-01-23;3;3;2;0;4;False
2022-01-24;2;4;1;0;5;False
2022-01-25;2;2;4;0;3;False
2022-01-26;2;2;1;0;3;False
2022-01-27;3;2;7;0;4;False
2022-01-28;2;8;3;0;3;False
2022-01-29;2;6;44;0;3;False
2022-01-30;3;17;7;0;4;False
2022-01-31;17;6;2;0;4;False
