date;us capitol;sex attacks;downing street parties;australia bushfires;air travel;isPartial
2022-01-01;0;0;29;13;34;False
2022-01-02;0;0;16;0;71;False
2022-01-03;11;0;0;0;68;False
2022-01-04;0;0;0;0;73;False
2022-01-05;10;0;0;17;94;False
2022-01-06;13;0;7;0;75;False
2022-01-07;13;0;0;0;83;False
2022-01-08;7;0;0;0;80;False
2022-01-09;0;0;0;0;59;False
2022-01-10;5;0;0;6;100;False
2022-01-11;0;5;26;5;81;False
2022-01-12;20;13;15;0;96;False
2022-01-13;0;0;28;0;96;False
2022-01-14;8;0;57;8;98;False
2022-01-15;0;0;36;0;81;False
2022-01-16;15;0;20;0;94;False
2022-01-17;6;0;16;0;67;False
2022-01-18;0;0;20;0;71;False
2022-01-19;12;0;6;0;95;False
2022-01-20;7;0;0;0;42;False
2022-01-21;0;0;10;8;30;False
2022-01-22;0;0;0;0;78;False
2022-01-23;6;0;0;5;88;False
2022-01-24;0;0;15;0;96;False
2022-01-25;0;5;17;4;56;False
2022-01-26;0;0;20;19;75;False
2022-01-27;0;0;0;0;62;False
2022-01-28;0;0;9;5;55;False
2022-01-29;17;0;6;0;60;False
2022-01-30;0;0;23;0;74;False
2022-01-31;6;12;28;0;98;False
