date;Serious Fraud Office;Margaret Hodge;Grant Shapps;Stormy Daniels;air travel;isPartial
2022-01-01;0;0;0;8;34;False
2022-01-02;7;5;0;0;63;False
2022-01-03;5;15;0;5;51;False
2022-01-04;11;5;7;0;54;False
2022-01-05;0;0;12;8;77;False
2022-01-06;0;0;31;0;61;False
2022-01-07;0;0;5;7;63;False
2022-01-08;7;0;14;5;71;False
2022-01-09;7;0;0;0;55;False
2022-01-10;5;5;6;0;97;False
2022-01-11;0;7;0;0;79;False
2022-01-12;0;0;0;5;67;False
2022-01-13;0;0;0;0;100;False
2022-01-14;0;8;0;0;84;False
2022-01-15;0;0;0;0;66;False
2022-01-16;0;0;0;13;72;False
2022-01-17;0;0;13;16;65;False
2022-01-18;5;0;0;8;59;False
2022-01-19;0;0;22;0;74;False
2022-01-20;0;0;0;0;54;False
2022-01-21;0;0;13;9;38;False
2022-01-22;0;6;17;0;53;False
2022-01-23;0;0;8;0;69;False
2022-01-24;8;0;32;5;97;False
2022-01-25;0;7;58;8;49;False
2022-01-26;8;0;14;0;64;False
2022-01-27;0;0;14;10;71;False
2022-01-28;0;0;5;8;49;False
2022-01-29;11;0;0;8;60;False
2022-01-30;0;0;0;0;71;False
2022-01-31;0;5;11;0;82;False
