date;Kate Clanchy;Guillermo del Toro;Toni Collette;Rooney Mara;air travel;isPartial
2022-01-01;0;0;0;24;34;False
2022-01-02;0;0;5;17;63;False
2022-01-03;0;13;7;12;51;False
2022-01-04;5;12;0;24;54;False
2022-01-05;0;0;6;6;77;False
2022-01-06;0;0;0;18;61;False
2022-01-07;0;13;0;36;63;False
2022-01-08;0;6;9;43;71;False
2022-01-09;0;10;6;30;55;False
2022-01-10;7;13;6;18;97;False
2022-01-11;0;8;8;8;79;False
2022-01-12;0;0;15;15;67;False
2022-01-13;0;18;6;8;100;False
2022-01-14;0;7;10;24;84;False
2022-01-15;0;24;0;45;66;False
2022-01-16;0;15;8;13;72;False
2022-01-17;0;21;12;5;65;False
2022-01-18;0;13;0;9;59;False
2022-01-19;0;14;7;0;74;False
2022-01-20;7;17;6;9;54;False
2022-01-21;24;45;0;15;38;False
2022-01-22;0;34;7;18;53;False
2022-01-23;30;42;18;15;69;False
2022-01-24;24;39;0;12;97;False
2022-01-25;10;25;0;4;49;False
2022-01-26;7;24;0;6;64;False
2022-01-27;18;32;0;17;71;False
2022-01-28;13;30;0;10;49;False
2022-01-29;25;23;0;37;60;False
2022-01-30;15;16;18;15;71;False
2022-01-31;19;15;0;10;82;False
