date;Carl Bernstein;Watergate;Helen Lederer;Turkish food and drink;air travel;isPartial
2022-01-01;0;25;0;0;34;False
2022-01-02;0;50;0;0;63;False
2022-01-03;0;66;20;0;51;False
2022-01-04;0;43;0;0;54;False
2022-01-05;0;28;0;0;77;False
2022-01-06;0;24;0;0;61;False
2022-01-07;0;38;5;0;63;False
2022-01-08;0;39;0;0;71;False
2022-01-09;0;48;5;0;55;False
2022-01-10;10;45;5;0;97;False
2022-01-11;0;40;0;0;79;False
2022-01-12;0;39;0;0;67;False
2022-01-13;0;50;0;0;100;False
2022-01-14;0;58;0;0;84;False
2022-01-15;0;58;0;0;66;False
2022-01-16;14;53;0;0;72;False
2022-01-17;0;42;12;0;65;False
2022-01-18;0;36;4;0;59;False
2022-01-19;4;99;0;0;74;False
2022-01-20;0;76;12;0;54;False
2022-01-21;6;41;7;0;38;False
2022-01-22;0;50;0;0;53;False
2022-01-23;10;61;5;0;69;False
2022-01-24;0;73;9;0;97;False
2022-01-25;8;42;0;0;49;False
2022-01-26;0;35;19;0;64;False
2022-01-27;0;42;0;0;71;False
2022-01-28;5;42;7;0;49;False
2022-01-29;5;50;0;0;60;False
2022-01-30;4;52;0;0;71;False
2022-01-31;0;42;0;0;82;False
