date;Prevent strategy;Jeremy Corbyn;Labour party leadership;Amphibians;air travel;isPartial
2022-01-01;5;26;0;0;34;False
2022-01-02;5;35;0;12;63;False
2022-01-03;7;22;0;0;51;False
2022-01-04;6;58;0;11;54;False
2022-01-05;13;9;0;7;77;False
2022-01-06;0;16;0;14;61;False
2022-01-07;0;28;0;5;63;False
2022-01-08;7;21;0;20;71;False
2022-01-09;6;36;13;0;55;False
2022-01-10;34;91;0;26;97;False
2022-01-11;7;46;4;16;79;False
2022-01-12;12;55;0;25;67;False
2022-01-13;16;59;0;35;100;False
2022-01-14;17;42;0;13;84;False
2022-01-15;0;43;0;0;66;False
2022-01-16;0;40;0;18;72;False
2022-01-17;0;34;11;17;65;False
2022-01-18;0;37;0;20;59;False
2022-01-19;14;58;0;6;74;False
2022-01-20;0;99;0;17;54;False
2022-01-21;8;19;0;7;38;False
2022-01-22;0;25;0;0;53;False
2022-01-23;6;29;0;17;69;False
2022-01-24;9;44;0;12;97;False
2022-01-25;7;60;0;16;49;False
2022-01-26;0;48;0;17;64;False
2022-01-27;0;41;0;23;71;False
2022-01-28;6;39;0;5;49;False
2022-01-29;4;24;0;9;60;False
2022-01-30;0;26;0;11;71;False
2022-01-31;6;47;0;17;82;False
