date;tom tugendhat;ryan reynolds;covid 19;ariana debose;air travel;isPartial
2022-01-01;0;24;75;1;1;False
2022-01-02;0;14;91;0;3;False
2022-01-03;0;10;100;0;3;False
2022-01-04;0;10;98;0;3;False
2022-01-05;0;8;81;1;4;False
2022-01-06;0;6;72;0;3;False
2022-01-07;0;8;71;1;4;False
2022-01-08;0;9;63;1;3;False
2022-01-09;0;8;70;0;3;False
2022-01-10;0;6;69;2;4;False
2022-01-11;0;5;74;1;3;False
2022-01-12;1;5;67;0;4;False
2022-01-13;1;5;68;0;4;False
2022-01-14;0;5;47;1;4;False
2022-01-15;0;8;55;1;3;False
2022-01-16;1;5;52;5;4;False
2022-01-17;1;5;60;2;3;False
2022-01-18;0;4;56;1;3;False
2022-01-19;0;4;60;0;4;False
2022-01-20;1;4;52;0;2;False
2022-01-21;0;5;45;0;1;False
2022-01-22;1;7;40;1;3;False
2022-01-23;1;6;48;1;4;False
2022-01-24;1;4;60;0;4;False
2022-01-25;1;4;38;0;2;False
2022-01-26;0;4;44;0;3;False
2022-01-27;0;4;45;0;3;False
2022-01-28;2;5;43;0;2;False
2022-01-29;15;7;41;0;3;False
2022-01-30;4;6;50;0;3;False
2022-01-31;3;4;52;0;4;False
