date;moderna vaccine;prince charles;glasgow;mark drakeford;air travel;isPartial
2022-01-01;2;2;59;1;1;False
2022-01-02;1;2;76;1;1;False
2022-01-03;1;2;78;1;1;False
2022-01-04;1;1;76;0;1;False
2022-01-05;2;2;75;0;1;False
2022-01-06;2;2;78;1;1;False
2022-01-07;2;2;82;1;1;False
2022-01-08;2;2;79;1;1;False
2022-01-09;1;2;81;0;1;False
2022-01-10;1;2;90;0;2;False
2022-01-11;1;2;74;0;1;False
2022-01-12;1;2;80;0;1;False
2022-01-13;1;4;85;0;2;False
2022-01-14;1;4;78;1;1;False
2022-01-15;1;4;92;0;1;False
2022-01-16;1;4;83;0;1;False
2022-01-17;1;1;82;0;1;False
2022-01-18;1;2;81;0;1;False
2022-01-19;0;1;77;0;1;False
2022-01-20;0;2;77;0;1;False
2022-01-21;1;2;85;1;1;False
2022-01-22;1;2;76;1;1;False
2022-01-23;0;2;78;0;1;False
2022-01-24;1;2;95;0;2;False
2022-01-25;1;2;80;1;1;False
2022-01-26;1;1;82;0;1;False
2022-01-27;0;2;80;0;1;False
2022-01-28;1;2;96;0;1;False
2022-01-29;0;2;100;0;1;False
2022-01-30;0;2;84;0;1;False
2022-01-31;0;2;85;0;1;False
