date;manchester bombing;marijuana;priyanka chopra;al-shabaab;air travel;isPartial
2022-01-01;0;7;12;0;5;False
2022-01-02;6;9;6;0;10;False
2022-01-03;3;6;5;2;10;False
2022-01-04;1;9;7;1;11;False
2022-01-05;4;4;4;1;14;False
2022-01-06;0;5;5;0;11;False
2022-01-07;2;6;6;0;12;False
2022-01-08;4;9;4;0;12;False
2022-01-09;5;3;6;0;9;False
2022-01-10;3;6;4;0;15;False
2022-01-11;4;8;3;0;12;False
2022-01-12;2;7;2;0;14;False
2022-01-13;0;8;6;0;14;False
2022-01-14;1;7;25;0;14;False
2022-01-15;2;9;18;0;12;False
2022-01-16;0;4;13;0;14;False
2022-01-17;1;5;10;1;10;False
2022-01-18;1;6;1;0;10;False
2022-01-19;2;6;4;0;14;False
2022-01-20;0;7;5;0;6;False
2022-01-21;1;0;87;0;4;False
2022-01-22;0;5;100;0;12;False
2022-01-23;1;6;37;0;13;False
2022-01-24;1;9;26;3;14;False
2022-01-25;2;3;18;0;8;False
2022-01-26;2;6;14;1;11;False
2022-01-27;1;4;10;2;9;False
2022-01-28;1;8;8;0;8;False
2022-01-29;3;8;10;0;9;False
2022-01-30;2;5;9;0;11;False
2022-01-31;2;6;9;0;15;False
