date;jason derulo;sir patrick vallance;leicestershire;net zero;air travel;isPartial
2022-01-01;46;6;67;8;12;False
2022-01-02;21;2;62;5;24;False
2022-01-03;20;2;88;6;23;False
2022-01-04;26;0;86;14;25;False
2022-01-05;75;5;82;14;32;False
2022-01-06;38;0;82;24;26;False
2022-01-07;21;0;70;13;28;False
2022-01-08;26;0;70;12;27;False
2022-01-09;18;6;75;6;20;False
2022-01-10;17;0;98;29;34;False
2022-01-11;15;0;87;23;28;False
2022-01-12;12;0;70;32;33;False
2022-01-13;11;0;64;26;33;False
2022-01-14;6;0;63;18;34;False
2022-01-15;12;0;70;3;28;False
2022-01-16;21;0;81;12;32;False
2022-01-17;14;0;84;33;23;False
2022-01-18;8;0;71;35;24;False
2022-01-19;7;6;93;30;33;False
2022-01-20;11;0;78;29;15;False
2022-01-21;15;0;66;25;10;False
2022-01-22;43;0;70;7;27;False
2022-01-23;16;0;72;11;30;False
2022-01-24;9;0;100;41;33;False
2022-01-25;10;0;72;30;19;False
2022-01-26;12;2;78;32;26;False
2022-01-27;4;5;70;20;21;False
2022-01-28;3;0;77;22;19;False
2022-01-29;19;0;80;4;21;False
2022-01-30;16;0;84;8;26;False
2022-01-31;7;0;79;25;34;False
