date;Vietnamese food and drink;Coconuts;Marian Keyes;Ebooks;air travel;isPartial
2022-01-01;0;14;16;25;34;False
2022-01-02;0;10;7;43;63;False
2022-01-03;0;15;0;28;51;False
2022-01-04;0;16;10;27;54;False
2022-01-05;0;6;9;21;77;False
2022-01-06;0;5;9;34;61;False
2022-01-07;0;9;9;33;63;False
2022-01-08;0;16;9;23;71;False
2022-01-09;0;24;7;27;55;False
2022-01-10;0;18;12;29;97;False
2022-01-11;0;24;8;27;79;False
2022-01-12;0;11;5;36;67;False
2022-01-13;0;0;10;30;100;False
2022-01-14;0;5;0;29;84;False
2022-01-15;0;5;12;25;66;False
2022-01-16;0;10;22;30;72;False
2022-01-17;0;4;19;41;65;False
2022-01-18;0;0;12;35;59;False
2022-01-19;0;0;12;19;74;False
2022-01-20;0;17;0;27;54;False
2022-01-21;0;9;0;23;38;False
2022-01-22;0;23;13;23;53;False
2022-01-23;0;9;9;26;69;False
2022-01-24;0;18;25;42;97;False
2022-01-25;0;0;12;23;49;False
2022-01-26;0;9;0;48;64;False
2022-01-27;0;16;10;30;71;False
2022-01-28;0;8;8;30;49;False
2022-01-29;0;8;15;20;60;False
2022-01-30;0;12;18;16;71;False
2022-01-31;0;0;5;42;82;False
