date;Dylan Moran;Simon Pegg;Mission: Impossible;Vanessa Kirby;air travel;isPartial
2022-01-01;0;28;73;14;27;False
2022-01-02;9;38;53;15;50;False
2022-01-03;0;14;67;31;41;False
2022-01-04;4;21;66;12;43;False
2022-01-05;7;15;64;30;61;False
2022-01-06;0;21;94;11;48;False
2022-01-07;14;5;45;16;50;False
2022-01-08;0;13;100;15;56;False
2022-01-09;4;24;49;11;44;False
2022-01-10;5;12;36;0;77;False
2022-01-11;4;15;26;7;62;False
2022-01-12;4;12;26;6;53;False
2022-01-13;0;13;34;0;79;False
2022-01-14;0;10;16;0;66;False
2022-01-15;7;21;43;6;52;False
2022-01-16;9;4;36;6;57;False
2022-01-17;5;12;53;0;51;False
2022-01-18;0;17;35;0;47;False
2022-01-19;6;23;18;0;59;False
2022-01-20;0;9;32;9;43;False
2022-01-21;7;16;30;8;30;False
2022-01-22;8;24;35;11;42;False
2022-01-23;4;14;41;3;55;False
2022-01-24;0;20;27;0;77;False
2022-01-25;7;7;64;4;39;False
2022-01-26;0;12;27;0;51;False
2022-01-27;5;13;19;9;57;False
2022-01-28;6;16;27;4;39;False
2022-01-29;5;26;100;0;48;False
2022-01-30;0;17;25;0;57;False
2022-01-31;11;13;19;9;65;False
