date;iain duncan smith;drugs;syria;marks and spencer;air travel;isPartial
2022-01-01;0;19;2;100;1;False
2022-01-02;0;19;2;94;2;False
2022-01-03;0;18;2;89;2;False
2022-01-04;0;26;2;74;2;False
2022-01-05;0;21;2;65;3;False
2022-01-06;0;22;2;68;2;False
2022-01-07;0;21;2;70;2;False
2022-01-08;0;19;2;76;2;False
2022-01-09;0;21;2;74;2;False
2022-01-10;0;24;2;69;3;False
2022-01-11;0;22;3;66;3;False
2022-01-12;0;21;2;63;2;False
2022-01-13;1;23;3;72;4;False
2022-01-14;0;20;2;64;3;False
2022-01-15;0;21;2;75;2;False
2022-01-16;1;22;3;78;3;False
2022-01-17;0;22;1;61;2;False
2022-01-18;0;24;2;58;2;False
2022-01-19;0;18;2;53;3;False
2022-01-20;0;20;3;61;2;False
2022-01-21;0;20;2;60;1;False
2022-01-22;0;18;2;66;2;False
2022-01-23;0;19;3;66;2;False
2022-01-24;0;25;3;65;3;False
2022-01-25;0;21;2;57;2;False
2022-01-26;1;21;2;55;2;False
2022-01-27;0;21;3;59;3;False
2022-01-28;0;21;2;60;2;False
2022-01-29;1;19;2;67;2;False
2022-01-30;0;20;2;64;3;False
2022-01-31;0;23;2;58;3;False
