date;essex;andy murray;tsunami;new jersey;air travel;isPartial
2022-01-01;45;2;3;4;1;False
2022-01-02;55;4;3;4;2;False
2022-01-03;50;4;2;3;2;False
2022-01-04;54;6;3;4;2;False
2022-01-05;44;3;3;3;3;False
2022-01-06;49;4;3;4;2;False
2022-01-07;53;4;3;4;2;False
2022-01-08;47;3;3;4;3;False
2022-01-09;51;4;3;5;2;False
2022-01-10;59;11;4;4;4;False
2022-01-11;52;12;4;3;3;False
2022-01-12;49;20;3;4;3;False
2022-01-13;55;20;4;4;4;False
2022-01-14;50;34;3;3;3;False
2022-01-15;53;65;100;3;3;False
2022-01-16;54;13;64;4;3;False
2022-01-17;59;14;35;3;3;False
2022-01-18;51;46;22;4;2;False
2022-01-19;48;15;8;3;3;False
2022-01-20;52;50;11;3;2;False
2022-01-21;53;6;6;4;1;False
2022-01-22;50;6;6;4;2;False
2022-01-23;51;4;6;3;3;False
2022-01-24;61;3;5;4;4;False
2022-01-25;54;2;5;3;2;False
2022-01-26;51;1;4;3;2;False
2022-01-27;49;2;3;3;3;False
2022-01-28;50;3;4;4;2;False
2022-01-29;49;3;4;4;2;False
2022-01-30;46;10;4;3;3;False
2022-01-31;52;4;3;4;3;False
