date;cyprus;west midlands;lincolnshire;jair bolsonaro;air travel;isPartial
2022-01-01;44;27;35;0;3;False
2022-01-02;46;25;38;0;6;False
2022-01-03;49;29;40;1;5;False
2022-01-04;44;35;36;0;5;False
2022-01-05;47;27;41;0;7;False
2022-01-06;45;25;38;1;6;False
2022-01-07;56;27;32;0;6;False
2022-01-08;58;27;37;0;6;False
2022-01-09;72;26;32;0;5;False
2022-01-10;69;32;34;0;9;False
2022-01-11;70;29;36;0;7;False
2022-01-12;51;30;38;0;6;False
2022-01-13;60;34;38;0;9;False
2022-01-14;50;27;35;1;8;False
2022-01-15;54;30;32;0;6;False
2022-01-16;100;28;40;1;7;False
2022-01-17;58;32;41;1;6;False
2022-01-18;62;28;35;0;5;False
2022-01-19;49;28;34;0;7;False
2022-01-20;53;28;34;0;5;False
2022-01-21;51;44;34;1;3;False
2022-01-22;63;28;35;0;5;False
2022-01-23;70;34;34;0;6;False
2022-01-24;72;34;49;0;9;False
2022-01-25;59;29;35;0;4;False
2022-01-26;60;32;35;0;6;False
2022-01-27;50;27;35;0;6;False
2022-01-28;56;30;38;0;4;False
2022-01-29;55;29;36;0;5;False
2022-01-30;63;28;34;0;6;False
2022-01-31;67;35;36;0;7;False
