date;walking;islamophobia;spice girls;eco-tourism;air travel;isPartial
2022-01-01;93;0;4;0;2;False
2022-01-02;99;0;3;0;3;False
2022-01-03;100;0;1;0;2;False
2022-01-04;86;1;2;0;3;False
2022-01-05;74;0;2;1;4;False
2022-01-06;72;1;2;0;3;False
2022-01-07;72;0;2;0;3;False
2022-01-08;80;0;3;1;3;False
2022-01-09;96;0;4;0;2;False
2022-01-10;75;0;1;0;4;False
2022-01-11;74;0;1;0;3;False
2022-01-12;73;0;2;0;3;False
2022-01-13;75;0;3;0;4;False
2022-01-14;70;0;4;0;3;False
2022-01-15;89;0;3;0;3;False
2022-01-16;97;1;2;0;4;False
2022-01-17;73;0;3;0;2;False
2022-01-18;68;0;2;0;2;False
2022-01-19;64;0;2;0;3;False
2022-01-20;69;1;1;0;2;False
2022-01-21;65;0;1;0;2;False
2022-01-22;87;0;3;0;2;False
2022-01-23;87;1;2;0;3;False
2022-01-24;79;2;3;0;4;False
2022-01-25;68;0;2;0;2;False
2022-01-26;70;1;1;0;3;False
2022-01-27;67;0;2;0;3;False
2022-01-28;69;0;2;0;3;False
2022-01-29;81;0;3;0;2;False
2022-01-30;87;0;1;0;3;False
2022-01-31;70;0;1;0;4;False
