date;Cineworld;Climate aid;Climate finance;Duncan Macmillan;air travel;isPartial
2022-01-01;85;0;0;0;2;False
2022-01-02;96;0;0;0;5;False
2022-01-03;87;0;0;0;4;False
2022-01-04;82;0;1;1;4;False
2022-01-05;68;0;0;0;6;False
2022-01-06;59;0;0;0;4;False
2022-01-07;69;0;0;0;5;False
2022-01-08;91;0;0;0;5;False
2022-01-09;66;0;0;1;4;False
2022-01-10;58;0;0;0;7;False
2022-01-11;56;0;0;0;6;False
2022-01-12;52;1;0;0;5;False
2022-01-13;58;1;0;1;7;False
2022-01-14;74;0;0;0;6;False
2022-01-15;94;0;1;0;5;False
2022-01-16;72;0;1;0;5;False
2022-01-17;57;0;0;0;5;False
2022-01-18;49;1;0;0;4;False
2022-01-19;51;0;0;0;5;False
2022-01-20;51;0;1;0;4;False
2022-01-21;68;0;0;0;3;False
2022-01-22;79;0;0;0;4;False
2022-01-23;56;0;1;0;5;False
2022-01-24;62;0;0;1;7;False
2022-01-25;51;0;0;1;4;False
2022-01-26;57;0;0;0;5;False
2022-01-27;52;0;0;0;5;False
2022-01-28;78;0;0;0;4;False
2022-01-29;100;0;0;0;4;False
2022-01-30;69;0;0;0;5;False
2022-01-31;55;0;1;0;6;False
