date;Frank Black;Nord Stream 2 pipeline;Board games;Jack Dee;air travel;isPartial
2022-01-01;0;0;100;18;26;False
2022-01-02;11;0;99;12;48;False
2022-01-03;14;0;89;0;39;False
2022-01-04;7;0;83;8;41;False
2022-01-05;9;0;71;0;59;False
2022-01-06;0;0;68;4;47;False
2022-01-07;4;0;67;9;48;False
2022-01-08;5;0;97;7;54;False
2022-01-09;0;0;65;13;42;False
2022-01-10;3;0;68;5;74;False
2022-01-11;5;0;56;3;60;False
2022-01-12;5;28;66;8;51;False
2022-01-13;0;0;50;7;76;False
2022-01-14;5;7;65;76;64;False
2022-01-15;12;0;76;41;50;False
2022-01-16;10;0;88;10;55;False
2022-01-17;4;0;59;7;49;False
2022-01-18;0;7;74;0;45;False
2022-01-19;0;0;69;16;57;False
2022-01-20;0;0;48;7;41;False
2022-01-21;0;5;48;0;29;False
2022-01-22;0;8;71;13;40;False
2022-01-23;0;0;77;3;52;False
2022-01-24;0;0;65;5;74;False
2022-01-25;0;4;67;10;38;False
2022-01-26;4;0;58;10;49;False
2022-01-27;0;11;64;8;54;False
2022-01-28;9;13;57;7;38;False
2022-01-29;0;0;80;13;46;False
2022-01-30;5;4;72;18;54;False
2022-01-31;8;6;62;0;63;False
