date;Mars;Blue Origin;Virgin Galactic;Identity fraud;air travel;isPartial
2022-01-01;69;0;2;2;5;False
2022-01-02;65;3;2;1;10;False
2022-01-03;59;2;2;0;8;False
2022-01-04;64;1;3;1;8;False
2022-01-05;56;0;3;2;12;False
2022-01-06;65;1;6;0;9;False
2022-01-07;67;2;2;0;10;False
2022-01-08;70;1;1;0;11;False
2022-01-09;63;1;2;1;8;False
2022-01-10;67;0;3;0;15;False
2022-01-11;63;1;4;1;12;False
2022-01-12;59;2;3;0;10;False
2022-01-13;100;1;14;3;15;False
2022-01-14;65;1;6;0;13;False
2022-01-15;72;0;5;1;10;False
2022-01-16;63;0;3;0;11;False
2022-01-17;60;2;3;1;10;False
2022-01-18;72;3;5;0;9;False
2022-01-19;57;0;5;4;11;False
2022-01-20;59;1;2;0;8;False
2022-01-21;66;1;4;0;6;False
2022-01-22;86;1;3;1;8;False
2022-01-23;76;2;3;2;11;False
2022-01-24;78;0;7;0;15;False
2022-01-25;78;1;3;1;8;False
2022-01-26;70;0;2;1;10;False
2022-01-27;56;1;3;0;11;False
2022-01-28;72;0;1;0;8;False
2022-01-29;62;0;1;1;9;False
2022-01-30;59;0;2;1;11;False
2022-01-31;57;0;3;1;13;False
