date;rape in india;kabul;afghanistan;peatlands;air travel;isPartial
2022-01-01;0;8;49;2;12;False
2022-01-02;0;16;40;2;22;False
2022-01-03;2;8;50;0;18;False
2022-01-04;3;13;46;9;19;False
2022-01-05;0;8;48;4;27;False
2022-01-06;0;5;48;4;21;False
2022-01-07;0;13;50;0;22;False
2022-01-08;0;13;32;0;25;False
2022-01-09;0;6;43;2;19;False
2022-01-10;0;14;57;2;34;False
2022-01-11;1;13;73;2;27;False
2022-01-12;0;4;56;0;24;False
2022-01-13;0;12;45;2;35;False
2022-01-14;0;5;44;0;29;False
2022-01-15;0;7;53;2;23;False
2022-01-16;0;8;42;0;25;False
2022-01-17;0;27;100;0;23;False
2022-01-18;0;10;86;0;21;False
2022-01-19;0;10;51;0;26;False
2022-01-20;2;12;60;0;19;False
2022-01-21;0;7;55;0;13;False
2022-01-22;0;6;52;0;19;False
2022-01-23;0;8;63;0;24;False
2022-01-24;0;10;68;0;34;False
2022-01-25;0;6;70;2;17;False
2022-01-26;0;12;78;3;22;False
2022-01-27;4;19;59;0;25;False
2022-01-28;5;10;62;0;17;False
2022-01-29;0;13;50;2;21;False
2022-01-30;2;13;54;0;25;False
2022-01-31;2;12;51;0;29;False
