date;islamic state;honduras;calais;jonas brothers;air travel;isPartial
2022-01-01;0;12;48;8;25;False
2022-01-02;0;12;58;10;46;False
2022-01-03;0;17;54;7;38;False
2022-01-04;9;17;41;9;39;False
2022-01-05;0;15;46;10;56;False
2022-01-06;0;14;51;12;45;False
2022-01-07;11;14;38;10;46;False
2022-01-08;0;15;53;20;52;False
2022-01-09;0;16;77;0;40;False
2022-01-10;0;11;50;11;71;False
2022-01-11;5;7;50;13;58;False
2022-01-12;7;10;75;11;49;False
2022-01-13;0;26;86;28;73;False
2022-01-14;4;6;57;7;61;False
2022-01-15;0;16;57;9;48;False
2022-01-16;0;36;100;0;53;False
2022-01-17;3;21;71;6;48;False
2022-01-18;0;22;66;5;43;False
2022-01-19;5;16;57;8;55;False
2022-01-20;0;11;48;3;40;False
2022-01-21;0;17;79;11;28;False
2022-01-22;0;16;70;20;39;False
2022-01-23;5;19;96;14;50;False
2022-01-24;4;9;70;4;71;False
2022-01-25;0;13;52;14;36;False
2022-01-26;4;11;56;5;47;False
2022-01-27;0;28;48;9;52;False
2022-01-28;0;30;75;10;36;False
2022-01-29;0;18;64;15;44;False
2022-01-30;5;15;82;8;52;False
2022-01-31;0;33;83;6;60;False
