date;Hillary Clinton;American food and drink;KPMG;Accountancy;air travel;isPartial
2022-01-01;12;0;16;8;23;False
2022-01-02;0;0;31;17;43;False
2022-01-03;14;0;24;23;35;False
2022-01-04;14;0;54;37;37;False
2022-01-05;11;0;38;51;52;False
2022-01-06;12;0;45;50;41;False
2022-01-07;0;0;48;38;43;False
2022-01-08;10;0;20;12;48;False
2022-01-09;9;0;31;19;37;False
2022-01-10;0;0;79;56;66;False
2022-01-11;7;3;100;47;53;False
2022-01-12;18;0;84;33;46;False
2022-01-13;31;0;74;62;68;False
2022-01-14;15;9;78;42;57;False
2022-01-15;8;5;40;15;45;False
2022-01-16;25;0;26;32;49;False
2022-01-17;10;0;57;51;44;False
2022-01-18;8;0;79;40;40;False
2022-01-19;6;0;79;51;51;False
2022-01-20;5;0;59;44;37;False
2022-01-21;16;0;55;51;26;False
2022-01-22;11;0;23;20;36;False
2022-01-23;7;0;38;19;47;False
2022-01-24;16;0;76;54;66;False
2022-01-25;6;0;54;59;33;False
2022-01-26;4;0;59;61;43;False
2022-01-27;11;0;63;52;48;False
2022-01-28;6;0;56;52;34;False
2022-01-29;9;0;34;20;41;False
2022-01-30;12;0;33;14;48;False
2022-01-31;8;0;73;58;56;False
