date;covid pass;dave grohl;domestic abuse;puerto rico;air travel;isPartial
2022-01-01;74;2;6;7;3;False
2022-01-02;81;4;6;8;6;False
2022-01-03;79;3;9;8;6;False
2022-01-04;85;5;9;10;6;False
2022-01-05;79;3;11;9;8;False
2022-01-06;73;2;11;7;7;False
2022-01-07;86;4;10;6;7;False
2022-01-08;85;3;6;8;7;False
2022-01-09;80;2;9;9;5;False
2022-01-10;70;4;15;9;9;False
2022-01-11;74;2;11;8;7;False
2022-01-12;71;2;13;8;8;False
2022-01-13;80;1;10;5;8;False
2022-01-14;94;8;9;8;9;False
2022-01-15;96;4;5;7;7;False
2022-01-16;82;6;7;11;8;False
2022-01-17;79;3;9;3;6;False
2022-01-18;64;3;11;7;6;False
2022-01-19;88;3;8;7;8;False
2022-01-20;75;5;10;6;4;False
2022-01-21;87;4;9;7;3;False
2022-01-22;100;2;6;9;7;False
2022-01-23;68;2;6;10;8;False
2022-01-24;93;2;15;6;8;False
2022-01-25;71;3;12;6;5;False
2022-01-26;70;2;10;5;7;False
2022-01-27;75;3;8;6;5;False
2022-01-28;84;2;10;7;5;False
2022-01-29;95;5;5;8;5;False
2022-01-30;80;4;20;10;7;False
2022-01-31;67;2;11;6;9;False
