date;Washington state;Canada women's football team;Royal Shakespeare Company;Imelda Staunton;air travel;isPartial
2022-01-01;15;0;0;53;34;False
2022-01-02;17;0;15;25;63;False
2022-01-03;0;0;0;42;51;False
2022-01-04;14;6;0;18;54;False
2022-01-05;0;0;0;0;77;False
2022-01-06;7;0;0;17;61;False
2022-01-07;13;0;0;38;63;False
2022-01-08;24;7;0;16;71;False
2022-01-09;22;0;6;14;55;False
2022-01-10;50;0;0;8;97;False
2022-01-11;22;0;0;6;79;False
2022-01-12;18;0;7;0;67;False
2022-01-13;21;0;10;0;100;False
2022-01-14;21;0;0;13;84;False
2022-01-15;18;0;0;49;66;False
2022-01-16;18;0;0;13;72;False
2022-01-17;6;0;6;6;65;False
2022-01-18;10;0;0;0;59;False
2022-01-19;9;0;0;5;74;False
2022-01-20;15;0;15;17;54;False
2022-01-21;14;0;6;7;38;False
2022-01-22;23;0;0;11;53;False
2022-01-23;25;6;0;9;69;False
2022-01-24;10;0;4;0;97;False
2022-01-25;13;0;0;0;49;False
2022-01-26;34;0;21;7;64;False
2022-01-27;18;0;16;20;71;False
2022-01-28;15;0;0;0;49;False
2022-01-29;14;0;10;10;60;False
2022-01-30;20;0;0;14;71;False
2022-01-31;27;9;0;5;82;False
