date;Pete Buttigieg;Panama;European Super League;Costa book awards;air travel;isPartial
2022-01-01;0;73;0;0;27;False
2022-01-02;0;61;0;0;49;False
2022-01-03;0;79;5;10;40;False
2022-01-04;0;46;0;7;42;False
2022-01-05;6;62;0;23;60;False
2022-01-06;4;51;0;11;48;False
2022-01-07;0;55;0;0;50;False
2022-01-08;0;84;6;0;56;False
2022-01-09;0;67;7;0;43;False
2022-01-10;13;62;0;0;76;False
2022-01-11;0;67;0;8;62;False
2022-01-12;9;76;0;0;53;False
2022-01-13;0;66;0;0;79;False
2022-01-14;0;75;0;0;66;False
2022-01-15;8;75;7;0;52;False
2022-01-16;0;93;11;0;57;False
2022-01-17;0;83;0;0;51;False
2022-01-18;0;62;0;0;46;False
2022-01-19;0;41;0;0;59;False
2022-01-20;0;71;0;0;42;False
2022-01-21;0;58;0;0;30;False
2022-01-22;7;48;0;0;42;False
2022-01-23;0;68;0;3;54;False
2022-01-24;0;83;0;0;76;False
2022-01-25;0;65;0;6;39;False
2022-01-26;0;69;0;0;50;False
2022-01-27;0;62;0;0;56;False
2022-01-28;0;71;0;0;39;False
2022-01-29;0;61;0;0;47;False
2022-01-30;6;100;0;0;56;False
2022-01-31;0;72;0;0;65;False
