date;Cristiano Ronaldo;Ralf Rangnick;Carabao Cup;Pep Guardiola;air travel;isPartial
2022-01-01;5;3;4;6;2;False
2022-01-02;3;1;5;4;3;False
2022-01-03;9;7;7;1;3;False
2022-01-04;5;3;20;1;3;False
2022-01-05;4;3;67;1;4;False
2022-01-06;3;1;21;2;3;False
2022-01-07;5;1;7;4;3;False
2022-01-08;5;2;6;2;4;False
2022-01-09;5;1;5;1;3;False
2022-01-10;10;5;4;2;5;False
2022-01-11;5;1;8;1;4;False
2022-01-12;5;0;50;1;3;False
2022-01-13;6;1;81;2;5;False
2022-01-14;7;0;16;2;4;False
2022-01-15;14;3;6;4;3;False
2022-01-16;9;2;4;2;4;False
2022-01-17;5;1;4;1;3;False
2022-01-18;6;1;5;3;3;False
2022-01-19;9;1;9;1;4;False
2022-01-20;7;2;100;2;3;False
2022-01-21;5;1;46;2;2;False
2022-01-22;7;3;14;5;3;False
2022-01-23;6;1;9;2;4;False
2022-01-24;4;1;8;2;5;False
2022-01-25;5;1;5;1;3;False
2022-01-26;5;0;5;1;3;False
2022-01-27;12;1;3;1;4;False
2022-01-28;18;1;4;1;3;False
2022-01-29;23;1;3;1;3;False
2022-01-30;25;1;3;0;4;False
2022-01-31;16;1;4;1;4;False
