date;george floyd;islamic;bahamas;cruise ships;air travel;isPartial
2022-01-01;10;100;29;12;8;False
2022-01-02;7;68;27;10;15;False
2022-01-03;5;80;32;12;12;False
2022-01-04;6;71;26;5;13;False
2022-01-05;41;71;27;7;19;False
2022-01-06;35;57;27;12;15;False
2022-01-07;28;65;34;11;15;False
2022-01-08;24;64;34;14;17;False
2022-01-09;3;62;67;18;13;False
2022-01-10;7;73;46;10;23;False
2022-01-11;6;57;32;10;19;False
2022-01-12;10;61;27;5;16;False
2022-01-13;9;72;32;7;24;False
2022-01-14;9;68;30;6;20;False
2022-01-15;8;69;34;13;16;False
2022-01-16;5;68;45;13;17;False
2022-01-17;9;69;30;7;16;False
2022-01-18;3;61;26;10;14;False
2022-01-19;6;67;22;7;18;False
2022-01-20;6;61;25;5;13;False
2022-01-21;10;65;23;9;9;False
2022-01-22;6;52;28;7;13;False
2022-01-23;7;80;37;14;17;False
2022-01-24;7;81;31;12;23;False
2022-01-25;5;67;26;12;12;False
2022-01-26;5;65;32;7;15;False
2022-01-27;3;68;28;7;17;False
2022-01-28;4;71;28;7;12;False
2022-01-29;5;61;30;11;14;False
2022-01-30;4;67;31;13;17;False
2022-01-31;7;69;24;8;20;False
