date;sean penn;rihanna;hertfordshire;sue gray report;air travel;isPartial
2022-01-01;0;4;7;0;1;False
2022-01-02;1;4;7;0;1;False
2022-01-03;0;4;7;0;1;False
2022-01-04;0;3;7;0;1;False
2022-01-05;0;3;7;0;2;False
2022-01-06;0;3;7;0;1;False
2022-01-07;1;4;7;0;1;False
2022-01-08;1;5;8;0;2;False
2022-01-09;1;4;7;0;1;False
2022-01-10;0;3;10;0;2;False
2022-01-11;0;3;9;0;2;False
2022-01-12;0;3;8;1;2;False
2022-01-13;0;3;8;0;2;False
2022-01-14;0;3;7;0;2;False
2022-01-15;1;4;7;0;2;False
2022-01-16;0;4;8;0;2;False
2022-01-17;0;4;10;0;2;False
2022-01-18;0;3;8;1;1;False
2022-01-19;0;3;8;1;2;False
2022-01-20;0;3;8;1;1;False
2022-01-21;0;3;7;1;1;False
2022-01-22;0;4;7;1;1;False
2022-01-23;0;5;8;1;2;False
2022-01-24;0;4;10;2;2;False
2022-01-25;0;2;8;3;1;False
2022-01-26;0;3;7;11;1;False
2022-01-27;0;3;7;12;2;False
2022-01-28;1;4;8;22;1;False
2022-01-29;1;4;7;6;1;False
2022-01-30;1;4;7;3;2;False
2022-01-31;1;100;8;53;2;False
