date;Gold Coast;Computing;Mark Drakeford;Welsh politics;air travel;isPartial
2022-01-01;12;24;24;0;15;False
2022-01-02;14;19;16;0;27;False
2022-01-03;15;32;14;0;22;False
2022-01-04;16;64;11;2;23;False
2022-01-05;14;62;7;0;33;False
2022-01-06;21;63;19;0;26;False
2022-01-07;13;50;30;0;27;False
2022-01-08;9;36;29;0;31;False
2022-01-09;11;47;3;0;24;False
2022-01-10;13;80;9;3;42;False
2022-01-11;16;80;8;2;34;False
2022-01-12;10;75;8;0;29;False
2022-01-13;11;81;12;6;43;False
2022-01-14;9;59;35;0;36;False
2022-01-15;17;25;11;0;28;False
2022-01-16;16;42;0;0;31;False
2022-01-17;12;73;4;5;28;False
2022-01-18;5;62;0;5;25;False
2022-01-19;14;65;3;2;32;False
2022-01-20;13;63;4;0;23;False
2022-01-21;13;55;19;0;16;False
2022-01-22;14;26;15;0;23;False
2022-01-23;20;36;7;0;30;False
2022-01-24;15;100;3;0;42;False
2022-01-25;15;75;17;0;21;False
2022-01-26;12;76;5;0;27;False
2022-01-27;11;73;12;0;31;False
2022-01-28;8;47;4;0;21;False
2022-01-29;13;37;0;0;26;False
2022-01-30;17;42;4;3;31;False
2022-01-31;19;61;4;4;36;False
