date;Hunter S Thompson;Mikaela Shiffrin;Boots;Monaco;air travel;isPartial
2022-01-01;0;0;93;2;0;False
2022-01-02;0;0;97;2;1;False
2022-01-03;0;0;100;2;1;False
2022-01-04;0;0;84;2;1;False
2022-01-05;0;0;84;2;1;False
2022-01-06;0;0;77;2;1;False
2022-01-07;0;0;80;2;1;False
2022-01-08;0;0;91;2;1;False
2022-01-09;0;0;87;3;1;False
2022-01-10;0;0;81;2;1;False
2022-01-11;0;0;73;2;1;False
2022-01-12;0;0;70;2;1;False
2022-01-13;0;0;78;2;1;False
2022-01-14;0;0;69;1;1;False
2022-01-15;0;0;88;2;1;False
2022-01-16;0;0;90;3;1;False
2022-01-17;0;0;73;2;1;False
2022-01-18;0;0;67;1;1;False
2022-01-19;0;0;66;2;1;False
2022-01-20;0;0;65;2;1;False
2022-01-21;0;0;68;2;0;False
2022-01-22;0;0;80;2;1;False
2022-01-23;0;0;85;2;1;False
2022-01-24;0;0;77;2;1;False
2022-01-25;0;0;70;2;1;False
2022-01-26;0;0;66;1;1;False
2022-01-27;0;0;65;2;1;False
2022-01-28;0;0;68;2;1;False
2022-01-29;0;0;79;2;1;False
2022-01-30;0;0;76;2;1;False
2022-01-31;0;0;68;1;1;False
