date;Pret a Manger;Mohamed Salah;Nazanin Zaghari-Ratcliffe;Diana Vreeland;air travel;isPartial
2022-01-01;79;25;0;11;33;False
2022-01-02;68;77;5;0;62;False
2022-01-03;78;40;0;0;51;False
2022-01-04;55;0;18;0;53;False
2022-01-05;67;12;0;0;76;False
2022-01-06;59;11;5;0;60;False
2022-01-07;45;26;0;0;62;False
2022-01-08;73;26;0;0;70;False
2022-01-09;81;15;14;0;54;False
2022-01-10;81;26;0;0;96;False
2022-01-11;76;59;15;0;78;False
2022-01-12;83;12;16;7;66;False
2022-01-13;66;11;8;6;99;False
2022-01-14;56;20;0;6;83;False
2022-01-15;97;34;5;0;65;False
2022-01-16;58;29;0;0;71;False
2022-01-17;66;16;5;0;64;False
2022-01-18;67;14;5;0;58;False
2022-01-19;58;10;0;7;74;False
2022-01-20;74;12;5;0;53;False
2022-01-21;65;16;0;0;37;False
2022-01-22;56;21;0;0;52;False
2022-01-23;76;21;7;0;68;False
2022-01-24;55;19;0;0;96;False
2022-01-25;59;20;12;0;49;False
2022-01-26;78;38;0;0;63;False
2022-01-27;77;16;0;0;71;False
2022-01-28;58;16;0;0;49;False
2022-01-29;67;30;6;8;59;False
2022-01-30;68;52;7;0;71;False
2022-01-31;100;13;0;0;81;False
