date;McDonald's;Fast food;Jacinda Ardern;Sevilla;air travel;isPartial
2022-01-01;100;3;0;1;1;False
2022-01-02;42;3;0;1;1;False
2022-01-03;37;3;0;4;1;False
2022-01-04;29;2;0;2;2;False
2022-01-05;30;2;0;1;2;False
2022-01-06;27;2;0;3;1;False
2022-01-07;33;2;0;1;2;False
2022-01-08;37;3;0;1;1;False
2022-01-09;36;2;0;3;1;False
2022-01-10;26;2;0;1;2;False
2022-01-11;26;3;0;1;1;False
2022-01-12;24;2;0;1;2;False
2022-01-13;25;2;0;1;2;False
2022-01-14;32;2;1;2;2;False
2022-01-15;40;3;0;10;1;False
2022-01-16;40;3;0;6;2;False
2022-01-17;24;2;0;1;1;False
2022-01-18;23;2;0;2;1;False
2022-01-19;20;2;0;4;1;False
2022-01-20;25;2;0;2;1;False
2022-01-21;31;2;0;1;1;False
2022-01-22;39;2;0;4;1;False
2022-01-23;34;3;5;2;1;False
2022-01-24;37;2;1;2;2;False
2022-01-25;35;2;1;3;1;False
2022-01-26;28;3;0;2;1;False
2022-01-27;31;2;0;2;1;False
2022-01-28;31;3;0;1;1;False
2022-01-29;41;4;1;2;1;False
2022-01-30;37;3;0;1;2;False
2022-01-31;25;2;0;1;2;False
