date;Papua New Guinea;Jesse Eisenberg;Julianne Moore;Flights;air travel;isPartial
2022-01-01;0;0;0;51;1;False
2022-01-02;0;0;0;62;1;False
2022-01-03;0;0;0;67;1;False
2022-01-04;0;0;0;62;1;False
2022-01-05;0;0;0;60;2;False
2022-01-06;0;0;0;63;1;False
2022-01-07;0;0;0;60;1;False
2022-01-08;0;0;0;73;1;False
2022-01-09;0;0;0;100;1;False
2022-01-10;0;0;0;90;2;False
2022-01-11;0;0;0;71;2;False
2022-01-12;0;0;0;68;1;False
2022-01-13;0;0;0;72;2;False
2022-01-14;0;0;0;59;2;False
2022-01-15;0;0;0;76;1;False
2022-01-16;1;0;0;92;1;False
2022-01-17;0;0;0;83;1;False
2022-01-18;0;0;0;78;1;False
2022-01-19;0;0;0;70;1;False
2022-01-20;0;0;0;68;1;False
2022-01-21;0;0;0;62;1;False
2022-01-22;0;0;0;71;1;False
2022-01-23;1;0;0;95;1;False
2022-01-24;0;0;0;95;2;False
2022-01-25;0;0;0;81;1;False
2022-01-26;0;0;0;68;1;False
2022-01-27;0;0;0;64;1;False
2022-01-28;0;0;0;66;1;False
2022-01-29;0;0;0;83;1;False
2022-01-30;1;0;0;89;1;False
2022-01-31;0;0;0;83;2;False
