date;Andrew Strauss;The Ashes;Middlesbrough;Reproductive rights;air travel;isPartial
2022-01-01;0;7;47;0;3;False
2022-01-02;0;6;47;0;5;False
2022-01-03;0;8;46;0;4;False
2022-01-04;1;10;46;1;4;False
2022-01-05;0;13;49;0;6;False
2022-01-06;0;16;47;0;5;False
2022-01-07;1;19;53;1;5;False
2022-01-08;1;18;81;0;6;False
2022-01-09;1;19;49;0;4;False
2022-01-10;0;5;62;2;8;False
2022-01-11;0;5;58;0;6;False
2022-01-12;0;6;55;1;5;False
2022-01-13;1;6;63;0;8;False
2022-01-14;0;16;52;0;7;False
2022-01-15;0;22;83;0;5;False
2022-01-16;1;24;62;1;6;False
2022-01-17;0;5;56;0;5;False
2022-01-18;0;5;50;0;5;False
2022-01-19;0;2;45;0;6;False
2022-01-20;0;2;49;0;4;False
2022-01-21;0;3;54;0;3;False
2022-01-22;0;4;61;0;4;False
2022-01-23;0;3;44;0;5;False
2022-01-24;0;4;100;0;8;False
2022-01-25;0;3;55;0;4;False
2022-01-26;0;4;46;0;5;False
2022-01-27;0;2;46;0;6;False
2022-01-28;0;4;58;0;4;False
2022-01-29;1;3;82;0;5;False
2022-01-30;0;3;50;1;6;False
2022-01-31;0;2;61;1;6;False
