date;US prisons;Documentary films;Czech Republic;US voting rights;air travel;isPartial
2022-01-01;0;0;76;0;34;False
2022-01-02;7;0;81;0;63;False
2022-01-03;0;11;35;0;51;False
2022-01-04;0;5;72;0;54;False
2022-01-05;0;0;55;0;77;False
2022-01-06;0;0;70;0;61;False
2022-01-07;0;7;71;0;63;False
2022-01-08;0;6;63;7;71;False
2022-01-09;0;0;60;9;55;False
2022-01-10;0;4;73;0;97;False
2022-01-11;10;0;74;6;79;False
2022-01-12;9;0;67;0;67;False
2022-01-13;0;7;71;0;100;False
2022-01-14;0;8;62;0;84;False
2022-01-15;0;17;65;0;66;False
2022-01-16;0;7;54;0;72;False
2022-01-17;7;0;76;35;65;False
2022-01-18;5;9;59;8;59;False
2022-01-19;6;7;71;0;74;False
2022-01-20;0;0;72;0;54;False
2022-01-21;7;10;62;14;38;False
2022-01-22;0;11;55;7;53;False
2022-01-23;0;14;55;0;69;False
2022-01-24;7;5;85;0;97;False
2022-01-25;0;4;86;0;49;False
2022-01-26;7;0;65;0;64;False
2022-01-27;0;6;74;0;71;False
2022-01-28;0;0;68;0;49;False
2022-01-29;8;0;63;0;60;False
2022-01-30;11;0;59;0;71;False
2022-01-31;8;9;47;0;82;False
