date;TikTok;YouTube;Film industry;Autism;air travel;isPartial
2022-01-01;11;92;0;3;0;False
2022-01-02;10;88;0;3;0;False
2022-01-03;9;80;0;3;0;False
2022-01-04;10;78;0;4;0;False
2022-01-05;10;81;0;3;0;False
2022-01-06;9;79;0;3;0;False
2022-01-07;9;85;0;3;0;False
2022-01-08;11;91;0;3;0;False
2022-01-09;10;89;0;3;0;False
2022-01-10;9;84;0;4;1;False
2022-01-11;9;80;0;4;0;False
2022-01-12;9;83;0;4;0;False
2022-01-13;10;92;0;4;1;False
2022-01-14;9;83;0;3;0;False
2022-01-15;11;93;0;3;0;False
2022-01-16;11;100;0;4;0;False
2022-01-17;9;86;0;3;0;False
2022-01-18;9;80;0;4;0;False
2022-01-19;8;80;0;4;0;False
2022-01-20;8;79;0;3;0;False
2022-01-21;9;84;0;3;0;False
2022-01-22;11;88;0;3;0;False
2022-01-23;10;83;0;3;0;False
2022-01-24;11;80;0;4;1;False
2022-01-25;9;74;0;4;0;False
2022-01-26;9;83;0;4;0;False
2022-01-27;9;81;0;4;0;False
2022-01-28;10;97;0;4;0;False
2022-01-29;11;92;0;3;0;False
2022-01-30;10;86;0;3;0;False
2022-01-31;9;91;0;4;0;False
