date;Maggie Gyllenhaal;The Lost Daughter;Nintendo;NBC;air travel;isPartial
2022-01-01;4;77;100;4;2;False
2022-01-02;4;77;94;4;3;False
2022-01-03;2;52;80;3;3;False
2022-01-04;2;34;61;4;3;False
2022-01-05;1;25;54;3;4;False
2022-01-06;1;23;50;3;3;False
2022-01-07;1;29;52;3;3;False
2022-01-08;2;41;78;3;4;False
2022-01-09;2;35;76;3;3;False
2022-01-10;2;17;47;3;5;False
2022-01-11;0;11;42;3;4;False
2022-01-12;1;9;42;2;4;False
2022-01-13;1;9;43;4;5;False
2022-01-14;1;10;42;3;4;False
2022-01-15;2;20;67;4;4;False
2022-01-16;0;14;64;3;4;False
2022-01-17;1;6;44;3;3;False
2022-01-18;1;5;40;3;3;False
2022-01-19;1;5;39;3;4;False
2022-01-20;1;6;38;3;3;False
2022-01-21;0;8;44;4;2;False
2022-01-22;1;11;63;3;3;False
2022-01-23;1;8;60;4;4;False
2022-01-24;0;4;49;4;5;False
2022-01-25;0;3;43;2;3;False
2022-01-26;0;4;44;2;3;False
2022-01-27;1;2;42;2;4;False
2022-01-28;1;4;53;2;3;False
2022-01-29;2;9;64;2;3;False
2022-01-30;1;5;59;4;4;False
2022-01-31;0;1;44;4;4;False
