date;Ospreys;Norwich;Famine;Bees;air travel;isPartial
2022-01-01;5;54;1;6;1;False
2022-01-02;1;57;1;8;2;False
2022-01-03;0;54;1;8;2;False
2022-01-04;0;56;1;8;2;False
2022-01-05;0;51;1;8;3;False
2022-01-06;1;51;1;8;2;False
2022-01-07;0;54;1;10;2;False
2022-01-08;2;61;1;8;3;False
2022-01-09;1;71;1;7;2;False
2022-01-10;1;61;0;8;3;False
2022-01-11;1;52;1;10;3;False
2022-01-12;0;88;1;8;2;False
2022-01-13;1;61;2;8;4;False
2022-01-14;0;57;1;6;3;False
2022-01-15;3;100;1;8;2;False
2022-01-16;0;63;2;10;3;False
2022-01-17;1;58;2;9;2;False
2022-01-18;1;49;1;8;2;False
2022-01-19;1;49;1;8;3;False
2022-01-20;1;53;1;7;2;False
2022-01-21;1;95;1;8;1;False
2022-01-22;1;75;1;9;2;False
2022-01-23;4;54;1;9;2;False
2022-01-24;1;60;2;10;3;False
2022-01-25;1;53;1;8;2;False
2022-01-26;1;49;1;8;2;False
2022-01-27;0;51;2;8;3;False
2022-01-28;1;60;1;9;2;False
2022-01-29;3;64;1;8;2;False
2022-01-30;1;50;1;8;3;False
2022-01-31;0;60;1;8;3;False
