date;Wildlife;Police;London;California;air travel;isPartial
2022-01-01;2;8;90;3;0;False
2022-01-02;2;8;88;2;0;False
2022-01-03;1;9;72;2;0;False
2022-01-04;1;11;80;2;0;False
2022-01-05;1;11;79;2;0;False
2022-01-06;1;9;74;2;0;False
2022-01-07;1;9;78;2;0;False
2022-01-08;1;9;86;2;0;False
2022-01-09;1;9;83;2;0;False
2022-01-10;1;10;85;2;0;False
2022-01-11;1;10;80;2;0;False
2022-01-12;1;9;83;2;0;False
2022-01-13;1;11;84;2;0;False
2022-01-14;1;9;78;2;0;False
2022-01-15;1;9;91;3;0;False
2022-01-16;1;10;90;3;0;False
2022-01-17;1;10;89;2;0;False
2022-01-18;1;9;76;2;0;False
2022-01-19;1;9;80;2;0;False
2022-01-20;1;9;79;2;0;False
2022-01-21;1;9;81;2;0;False
2022-01-22;1;9;86;2;0;False
2022-01-23;2;9;100;2;0;False
2022-01-24;1;11;93;2;0;False
2022-01-25;1;11;80;2;0;False
2022-01-26;1;9;78;2;0;False
2022-01-27;1;9;79;2;0;False
2022-01-28;1;10;83;2;0;False
2022-01-29;1;9;86;2;0;False
2022-01-30;1;9;80;2;0;False
2022-01-31;1;10;81;2;0;False
