date;Essex holidays;Queen's platinum jubilee;Sarah Beeny;Davina McCall;air travel;isPartial
2022-01-01;3;6;11;46;9;False
2022-01-02;4;6;3;64;17;False
2022-01-03;8;46;12;28;14;False
2022-01-04;4;17;100;19;15;False
2022-01-05;4;14;17;18;21;False
2022-01-06;6;10;12;10;17;False
2022-01-07;4;10;10;14;17;False
2022-01-08;4;10;7;79;20;False
2022-01-09;0;11;16;28;15;False
2022-01-10;6;72;16;10;27;False
2022-01-11;0;25;88;7;22;False
2022-01-12;2;23;26;11;18;False
2022-01-13;0;23;12;16;27;False
2022-01-14;5;18;3;9;23;False
2022-01-15;3;17;10;42;18;False
2022-01-16;6;12;10;27;20;False
2022-01-17;0;17;8;19;18;False
2022-01-18;4;19;72;14;16;False
2022-01-19;3;16;34;10;20;False
2022-01-20;3;15;18;7;15;False
2022-01-21;3;13;10;10;10;False
2022-01-22;0;8;9;41;15;False
2022-01-23;3;11;4;13;19;False
2022-01-24;4;12;10;7;27;False
2022-01-25;4;13;84;9;14;False
2022-01-26;3;13;30;15;17;False
2022-01-27;3;9;18;10;20;False
2022-01-28;5;10;14;10;14;False
2022-01-29;4;12;9;22;16;False
2022-01-30;3;10;13;18;20;False
2022-01-31;3;20;6;13;23;False
