date;Northern Territory;Australian police and policing;Victorian politics;Fiction;air travel;isPartial
2022-01-01;1;0;0;56;9;False
2022-01-02;0;0;0;78;17;False
2022-01-03;0;0;0;67;14;False
2022-01-04;0;0;3;61;15;False
2022-01-05;0;0;0;77;21;False
2022-01-06;7;0;0;58;17;False
2022-01-07;6;0;0;100;17;False
2022-01-08;0;0;0;77;19;False
2022-01-09;4;0;0;77;15;False
2022-01-10;0;0;0;77;26;False
2022-01-11;0;0;0;61;21;False
2022-01-12;2;0;0;72;18;False
2022-01-13;0;0;2;85;27;False
2022-01-14;0;0;0;68;23;False
2022-01-15;0;0;0;75;18;False
2022-01-16;0;0;0;90;20;False
2022-01-17;2;0;0;72;18;False
2022-01-18;1;0;0;66;16;False
2022-01-19;1;0;1;58;20;False
2022-01-20;0;0;0;63;15;False
2022-01-21;0;0;3;63;10;False
2022-01-22;2;0;0;61;14;False
2022-01-23;2;0;0;69;19;False
2022-01-24;4;0;0;73;26;False
2022-01-25;0;0;0;62;13;False
2022-01-26;2;0;1;70;17;False
2022-01-27;0;0;0;51;19;False
2022-01-28;0;0;1;67;13;False
2022-01-29;0;0;0;73;16;False
2022-01-30;0;0;0;61;19;False
2022-01-31;0;0;0;74;22;False
