date;christmas trees;animals;berlin;colorado;air travel;isPartial
2022-01-01;16;70;25;25;3;False
2022-01-02;18;74;24;20;5;False
2022-01-03;17;61;23;10;4;False
2022-01-04;15;66;26;9;4;False
2022-01-05;13;72;22;8;6;False
2022-01-06;12;67;24;9;5;False
2022-01-07;6;72;24;9;5;False
2022-01-08;8;76;28;9;6;False
2022-01-09;6;80;32;8;4;False
2022-01-10;4;83;28;7;8;False
2022-01-11;4;85;29;8;6;False
2022-01-12;3;78;29;8;5;False
2022-01-13;3;90;26;8;8;False
2022-01-14;2;77;26;7;7;False
2022-01-15;2;84;28;6;5;False
2022-01-16;3;83;30;7;6;False
2022-01-17;2;78;30;7;5;False
2022-01-18;2;75;26;6;5;False
2022-01-19;1;71;25;6;6;False
2022-01-20;2;73;27;7;4;False
2022-01-21;3;74;25;7;3;False
2022-01-22;1;71;31;6;4;False
2022-01-23;2;88;36;10;5;False
2022-01-24;2;86;34;9;8;False
2022-01-25;1;78;26;7;4;False
2022-01-26;1;91;30;8;5;False
2022-01-27;1;75;25;7;6;False
2022-01-28;1;91;26;7;4;False
2022-01-29;2;86;25;8;5;False
2022-01-30;0;84;26;8;6;False
2022-01-31;2;100;30;8;6;False
