date;peng shuai;mars;puerto rico;europe;air travel;isPartial
2022-01-01;0;25;2;54;2;False
2022-01-02;1;23;5;55;3;False
2022-01-03;1;21;4;55;3;False
2022-01-04;0;23;5;61;3;False
2022-01-05;0;20;5;67;4;False
2022-01-06;0;23;4;64;3;False
2022-01-07;0;24;3;63;3;False
2022-01-08;0;25;4;63;4;False
2022-01-09;0;23;5;67;3;False
2022-01-10;0;24;5;71;5;False
2022-01-11;1;23;3;67;4;False
2022-01-12;0;21;5;65;4;False
2022-01-13;0;36;3;68;5;False
2022-01-14;1;23;3;66;5;False
2022-01-15;0;26;4;70;4;False
2022-01-16;0;23;5;69;4;False
2022-01-17;0;22;2;72;4;False
2022-01-18;0;26;4;68;3;False
2022-01-19;0;20;4;68;4;False
2022-01-20;0;21;4;68;3;False
2022-01-21;0;24;4;68;2;False
2022-01-22;0;31;5;63;3;False
2022-01-23;1;27;5;81;4;False
2022-01-24;3;28;5;100;5;False
2022-01-25;2;28;3;76;3;False
2022-01-26;0;25;3;79;4;False
2022-01-27;0;20;4;69;4;False
2022-01-28;0;26;4;66;3;False
2022-01-29;0;22;4;68;3;False
2022-01-30;0;21;4;66;4;False
2022-01-31;0;21;3;72;5;False
