date;Flu;Michelle Mone;Woolworths;Sky News Australia;air travel;isPartial
2022-01-01;59;0;3;1;3;False
2022-01-02;53;0;1;1;5;False
2022-01-03;52;0;2;0;4;False
2022-01-04;61;1;2;0;5;False
2022-01-05;59;2;1;1;6;False
2022-01-06;100;20;2;0;5;False
2022-01-07;93;11;3;1;5;False
2022-01-08;80;3;2;2;6;False
2022-01-09;70;1;2;0;5;False
2022-01-10;55;0;2;2;8;False
2022-01-11;45;3;1;1;7;False
2022-01-12;35;2;3;1;6;False
2022-01-13;37;0;2;1;8;False
2022-01-14;32;0;11;1;7;False
2022-01-15;42;0;3;1;6;False
2022-01-16;31;1;3;2;6;False
2022-01-17;38;4;3;1;5;False
2022-01-18;45;2;2;1;5;False
2022-01-19;41;1;3;1;6;False
2022-01-20;40;0;3;0;5;False
2022-01-21;38;0;2;0;3;False
2022-01-22;32;0;2;1;4;False
2022-01-23;37;1;3;1;6;False
2022-01-24;37;0;3;1;8;False
2022-01-25;37;0;2;0;4;False
2022-01-26;33;0;2;0;5;False
2022-01-27;31;0;2;0;6;False
2022-01-28;30;0;2;1;4;False
2022-01-29;26;0;3;2;5;False
2022-01-30;30;1;2;0;6;False
2022-01-31;28;0;0;0;7;False
