date;newspapers;omicron;data and forensics;vladimir putin;air travel;isPartial
2022-01-01;15;98;0;1;1;False
2022-01-02;6;98;0;0;2;False
2022-01-03;6;100;0;0;2;False
2022-01-04;5;98;0;0;2;False
2022-01-05;6;79;0;0;2;False
2022-01-06;5;64;0;0;2;False
2022-01-07;5;59;0;1;2;False
2022-01-08;5;53;0;0;2;False
2022-01-09;6;56;0;0;2;False
2022-01-10;6;54;0;1;3;False
2022-01-11;5;46;0;0;2;False
2022-01-12;5;48;0;1;2;False
2022-01-13;5;48;0;0;3;False
2022-01-14;5;38;0;1;3;False
2022-01-15;5;42;0;0;2;False
2022-01-16;6;40;0;0;2;False
2022-01-17;7;45;0;0;2;False
2022-01-18;5;43;0;0;2;False
2022-01-19;5;35;0;1;2;False
2022-01-20;4;34;0;0;2;False
2022-01-21;5;36;0;1;1;False
2022-01-22;5;34;0;1;2;False
2022-01-23;6;35;0;2;2;False
2022-01-24;6;43;0;2;3;False
2022-01-25;6;36;0;2;2;False
2022-01-26;5;35;0;2;2;False
2022-01-27;6;30;0;2;2;False
2022-01-28;5;36;0;2;2;False
2022-01-29;5;32;0;1;2;False
2022-01-30;5;34;0;2;2;False
2022-01-31;6;32;0;2;3;False
