date;Matildas;Women's football;Asian Cup;SBS;air travel;isPartial
2022-01-01;0;37;0;16;34;False
2022-01-02;0;14;9;34;63;False
2022-01-03;0;19;16;33;51;False
2022-01-04;0;0;0;10;54;False
2022-01-05;0;44;0;34;77;False
2022-01-06;0;37;17;33;61;False
2022-01-07;0;26;17;29;63;False
2022-01-08;0;21;15;22;71;False
2022-01-09;0;66;0;19;55;False
2022-01-10;0;35;0;52;97;False
2022-01-11;0;29;0;33;79;False
2022-01-12;6;36;23;33;67;False
2022-01-13;7;43;0;41;100;False
2022-01-14;0;45;0;38;84;False
2022-01-15;0;37;7;24;66;False
2022-01-16;0;95;0;33;72;False
2022-01-17;0;31;0;92;65;False
2022-01-18;4;37;0;63;59;False
2022-01-19;0;45;0;30;74;False
2022-01-20;0;25;18;36;54;False
2022-01-21;0;33;22;48;38;False
2022-01-22;7;70;0;18;53;False
2022-01-23;0;99;10;33;69;False
2022-01-24;6;45;27;42;97;False
2022-01-25;0;33;10;29;49;False
2022-01-26;8;26;13;52;64;False
2022-01-27;0;53;63;40;71;False
2022-01-28;0;26;7;33;49;False
2022-01-29;0;55;14;14;60;False
2022-01-30;0;78;36;27;71;False
2022-01-31;14;49;9;29;82;False
