date;reclaim these streets;caroline flack;jimmy savile;world health organization (who);air travel;isPartial
2022-01-01;0;9;24;0;18;False
2022-01-02;0;10;28;0;33;False
2022-01-03;2;10;18;0;27;False
2022-01-04;0;10;19;5;28;False
2022-01-05;0;13;13;0;41;False
2022-01-06;0;15;21;0;32;False
2022-01-07;0;11;33;3;33;False
2022-01-08;0;28;18;5;38;False
2022-01-09;0;36;24;0;29;False
2022-01-10;4;16;10;3;51;False
2022-01-11;4;5;26;0;42;False
2022-01-12;4;11;25;0;36;False
2022-01-13;14;11;30;0;53;False
2022-01-14;6;5;16;5;44;False
2022-01-15;0;16;21;0;35;False
2022-01-16;0;19;38;0;38;False
2022-01-17;0;5;25;0;34;False
2022-01-18;0;13;30;0;31;False
2022-01-19;0;12;21;0;39;False
2022-01-20;0;20;22;0;28;False
2022-01-21;0;11;23;0;20;False
2022-01-22;3;14;25;0;28;False
2022-01-23;4;7;18;4;36;False
2022-01-24;0;4;28;5;51;False
2022-01-25;0;10;26;0;26;False
2022-01-26;0;43;16;12;34;False
2022-01-27;0;6;12;4;38;False
2022-01-28;0;26;15;0;26;False
2022-01-29;0;16;27;0;32;False
2022-01-30;3;14;19;0;38;False
2022-01-31;0;9;100;0;44;False
